"","Time","Open","Low","Close","High","Volume","Target_Close","Time_in_minutes"
"1",2021-06-10 07:00:00,120.1255,120.1255,120.1255,120.1255,6080,119.725,420
"2",2021-06-10 08:00:00,119.725,120.1,119.725,120.1,31500,120.189,480
"3",2021-06-10 09:00:00,120.346,121.6995,120.189,121.3435,3729200,120.369,540
"4",2021-06-10 10:00:00,121.36,121.511,120.369,120.75,3386740,120.611,600
"5",2021-06-10 11:00:00,120.691,121.2495,120.611,121.2405,2828000,121.15425,660
"6",2021-06-10 12:00:00,121.23325,121.5535,121.15425,121.269895,2017920,120.89275,720
"7",2021-06-10 13:00:00,121.26575,121.549995,120.89275,121.4895,2100880,121.3355,780
"8",2021-06-10 14:00:00,121.5135,121.59,121.3355,121.59,1769300,121.407,840
"9",2021-06-10 15:00:00,121.505,121.8,121.407,121.7575,6785800,121.7565,900
"10",2021-06-10 16:00:00,121.7565,121.943,121.7565,121.943,803300,121.807,960
"11",2021-06-10 17:00:00,121.807,121.95,121.807,121.95,8100,122.2455,1020
"12",2021-06-11 07:00:00,122.25,122.25,122.2455,122.25,12000,122.1,420
"13",2021-06-11 08:00:00,122.205,122.205,122.1,122.123,28600,121.207195,480
"14",2021-06-11 09:00:00,122.1,122.1,121.207195,121.4905,3994300,121.03925,540
"15",2021-06-11 10:00:00,121.4575,121.68225,121.03925,121.121,2857780,121,600
"16",2021-06-11 11:00:00,121.140295,121.5335,121,121.438,2097760,121.3,660
"17",2021-06-11 12:00:00,121.426,121.5715,121.3,121.3235,1469160,120.948,720
"18",2021-06-11 13:00:00,121.2945,121.2945,120.948,120.96725,2012800,120.9835,780
"19",2021-06-11 14:00:00,120.9835,121.399,120.9835,121.3285,1453060,121.177,840
"20",2021-06-11 15:00:00,121.31425,121.578,121.177,121.5145,3881420,121.471,900
"21",2021-06-11 16:00:00,121.51,121.545,121.471,121.471,754020,121.5045,960
"22",2021-06-11 17:00:00,121.5045,121.5265,121.5045,121.5265,9740,121.518,1020
"23",2021-06-11 19:00:00,121.518,121.518,121.518,121.518,4060,121.6,1140
"24",2021-06-14 07:00:00,121.6525,121.75,121.6,121.75,20480,121.5515,420
"25",2021-06-14 08:00:00,121.5515,121.551505,121.5515,121.551505,6940,120.999,480
