"","Time","Open","Low","Close","High","Volume","originalClose","Target_Close","Time_in_minutes","Open_lag1","Open_lag2","Open_lag3","Open_lag4","Open_lag5","High_lag1","High_lag2","High_lag3","High_lag4","High_lag5","Low_lag1","Low_lag2","Low_lag3","Low_lag4","Low_lag5","Close_lag1","Close_lag2","Close_lag3","Close_lag4","Close_lag5","Volume_lag1","Volume_lag2","Volume_lag3","Volume_lag4","Volume_lag5"
"1",2021-06-10 06:00:00,-0.116500000000002,-0.116500000000002,-0.116500000000002,-0.116500000000002,2960,163.3835,0.116500000000002,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2021-06-10 07:00:00,0.21599999999998,0.490499999999997,0.116500000000002,0.35499999999999,73700,163.5,-0.241500000000002,420,-0.116500000000002,NA,NA,NA,NA,-0.116500000000002,NA,NA,NA,NA,-0.116500000000002,NA,NA,NA,NA,-0.116500000000002,NA,NA,NA,NA,2960,NA,NA,NA,NA
"3",2021-06-10 08:00:00,-0.1995,0.325999999999993,-0.241500000000002,0.111500000000007,546240,163.2585,0.799000000000007,480,0.21599999999998,-0.116500000000002,NA,NA,NA,0.35499999999999,-0.116500000000002,NA,NA,NA,0.490499999999997,-0.116500000000002,NA,NA,NA,0.116500000000002,-0.116500000000002,NA,NA,NA,73700,2960,NA,NA,NA
"4",2021-06-10 09:00:00,0.800000000000011,2.2465,0.799000000000007,2.25,14230440,164.0575,1.845,540,-0.1995,0.21599999999998,-0.116500000000002,NA,NA,0.111500000000007,0.35499999999999,-0.116500000000002,NA,NA,0.325999999999993,0.490499999999997,-0.116500000000002,NA,NA,-0.241500000000002,0.116500000000002,-0.116500000000002,NA,NA,546240,73700,2960,NA,NA
"5",2021-06-10 10:00:00,1.94999999999999,0.287000000000006,1.845,0.225999999999999,13191420,165.9025,-0.0199950000000229,600,0.800000000000011,-0.1995,0.21599999999998,-0.116500000000002,NA,2.25,0.111500000000007,0.35499999999999,-0.116500000000002,NA,2.2465,0.325999999999993,0.490499999999997,-0.116500000000002,NA,0.799000000000007,-0.241500000000002,0.116500000000002,-0.116500000000002,NA,14230440,546240,73700,2960,NA
"6",2021-06-10 11:00:00,0.167500000000018,-0.068505000000016,-0.0199950000000229,0.0200000000000102,7184940,165.882505,0.225995000000012,660,1.94999999999999,0.800000000000011,-0.1995,0.21599999999998,-0.116500000000002,0.225999999999999,2.25,0.111500000000007,0.35499999999999,-0.116500000000002,0.287000000000006,2.2465,0.325999999999993,0.490499999999997,-0.116500000000002,1.845,0.799000000000007,-0.241500000000002,0.116500000000002,-0.116500000000002,13191420,14230440,546240,73700,2960
"7",2021-06-10 12:00:00,0.0335000000000036,-0.161494999999974,0.225995000000012,-0.0232500000000186,5757800,166.1085,0.0609999999999786,720,0.167500000000018,1.94999999999999,0.800000000000011,-0.1995,0.21599999999998,0.0200000000000102,0.225999999999999,2.25,0.111500000000007,0.35499999999999,-0.068505000000016,0.287000000000006,2.2465,0.325999999999993,0.490499999999997,-0.0199950000000229,1.845,0.799000000000007,-0.241500000000002,0.116500000000002,7184940,13191420,14230440,546240,73700
"8",2021-06-10 13:00:00,-0.0265000000000271,0.146499999999975,0.0609999999999786,0.280699999999996,4752060,166.1695,0.280500000000018,780,0.0335000000000036,0.167500000000018,1.94999999999999,0.800000000000011,-0.1995,-0.0232500000000186,0.0200000000000102,0.225999999999999,2.25,0.111500000000007,-0.161494999999974,-0.068505000000016,0.287000000000006,2.2465,0.325999999999993,0.225995000000012,-0.0199950000000229,1.845,0.799000000000007,-0.241500000000002,5757800,7184940,13191420,14230440,546240
"9",2021-06-10 14:00:00,0.275500000000022,0.200000000000017,0.280500000000018,0.233100000000007,4541900,166.45,0.0500000000000114,840,-0.0265000000000271,0.0335000000000036,0.167500000000018,1.94999999999999,0.800000000000011,0.280699999999996,-0.0232500000000186,0.0200000000000102,0.225999999999999,2.25,0.146499999999975,-0.161494999999974,-0.068505000000016,0.287000000000006,2.2465,0.0609999999999786,0.225995000000012,-0.0199950000000229,1.845,0.799000000000007,4752060,5757800,7184940,13191420,14230440
"10",2021-06-10 15:00:00,0.224499999999978,0.699999999999989,0.0500000000000114,0.646449999999987,12648620,166.5,0.849999999999994,900,0.275500000000022,-0.0265000000000271,0.0335000000000036,0.167500000000018,1.94999999999999,0.233100000000007,0.280699999999996,-0.0232500000000186,0.0200000000000102,0.225999999999999,0.200000000000017,0.146499999999975,-0.161494999999974,-0.068505000000016,0.287000000000006,0.280500000000018,0.0609999999999786,0.225995000000012,-0.0199950000000229,1.845,4541900,4752060,5757800,7184940,13191420
"11",2021-06-10 16:00:00,0.658000000000015,0.150000000000006,0.849999999999994,0.102000000000004,754220,167.35,0.224999999999994,960,0.224499999999978,0.275500000000022,-0.0265000000000271,0.0335000000000036,0.167500000000018,0.646449999999987,0.233100000000007,0.280699999999996,-0.0232500000000186,0.0200000000000102,0.699999999999989,0.200000000000017,0.146499999999975,-0.161494999999974,-0.068505000000016,0.0500000000000114,0.280500000000018,0.0609999999999786,0.225995000000012,-0.0199950000000229,12648620,4541900,4752060,5757800,7184940
"12",2021-06-10 17:00:00,0.0925000000000011,0,0.224999999999994,0.107500000000016,1505180,167.575,-0.0244999999999891,1020,0.658000000000015,0.224499999999978,0.275500000000022,-0.0265000000000271,0.0335000000000036,0.102000000000004,0.646449999999987,0.233100000000007,0.280699999999996,-0.0232500000000186,0.150000000000006,0.699999999999989,0.200000000000017,0.146499999999975,-0.161494999999974,0.849999999999994,0.0500000000000114,0.280500000000018,0.0609999999999786,0.225995000000012,754220,12648620,4541900,4752060,5757800
"13",2021-06-10 18:00:00,0.0390000000000157,-0.0699999999999932,-0.0244999999999891,-0.141995000000009,33520,167.5505,0.149494999999973,1080,0.0925000000000011,0.658000000000015,0.224499999999978,0.275500000000022,-0.0265000000000271,0.107500000000016,0.102000000000004,0.646449999999987,0.233100000000007,0.280699999999996,0,0.150000000000006,0.699999999999989,0.200000000000017,0.146499999999975,0.224999999999994,0.849999999999994,0.0500000000000114,0.280500000000018,0.0609999999999786,1505180,754220,12648620,4541900,4752060
"14",2021-06-10 19:00:00,0.0859949999999685,0.0699949999999774,0.149494999999973,0.149489999999986,2200,167.699995,0.0500050000000272,1140,0.0390000000000157,0.0925000000000011,0.658000000000015,0.224499999999978,0.275500000000022,-0.141995000000009,0.107500000000016,0.102000000000004,0.646449999999987,0.233100000000007,-0.0699999999999932,0,0.150000000000006,0.699999999999989,0.200000000000017,-0.0244999999999891,0.224999999999994,0.849999999999994,0.0500000000000114,0.280500000000018,33520,1505180,754220,12648620,4541900
